cod,zona,casi,tasso
10a,Don Bosco,31,6.01
10b,Appio-Claudio,17,5.77
10c,Quarto Miglio,13,12.21
10d,Pignatelli,0,0
10e,Lucrezia Romana,3,5.67
10f,Osteria del Curato,11,5.76
10g,Romanina,9,12.22
10h,Gregna,3,4.23
10i,Barcaccia,1,0.89
10l,Morena,13,4.05
10x,Ciampino,0,0
11a,Ostiense,1,1.28
11b,Valco S. Paolo,4,5.33
11c,Garbatella,32,7.28
11d,Navigatori,5,9.68
11e,Tormarancia,16,4.92
11f,Tre Fontane,4,3.39
11g,Grottaperfetta,5,3.23
11x,Appia Antica Nord,1,4
11y,Appia Antica Sud,0,0
12a,Eur,5,5.7
12b,Villaggio Giuliano,12,12.22
12c,Torrino,23,5.66
12d,Laurentino,14,5.83
12e,Cecchignola,9,6.54
12f,Mezzocammino,6,4.29
12g,Spinaceto,19,7.81
12h,Vallerano Castel di Leva,22,7.47
12i,Decima,2,2.42
12l,Porta Medaglia,1,3.08
12m,Castel Romano,0,0
12n,Santa Palomba,0,0
12x,Tor di Valle,0,0
13a,Malafede,8,4.73
13b,Acilia Nord,15,5.36
13c,Acilia Sud,12,4.66
13d,Palocco,9,3.33
13e,Ostia Antica,10,5.86
13f,Ostia Nord,23,5.46
13g,Ostia Sud,16,4.53
13h,Castel Fusano,1,6.81
13i,Infernetto,19,6.44
13x,Castel Porziano,0,0
15a,Marconi,12,3.46
15b,Portuense,24,8.26
15c,Pian Due Torri,19,7.62
15d,Trullo,13,4.41
15e,Magliana,2,3.78
15f,Corviale,4,2.47
15g,Ponte Galeria,6,4.84
16a,Colli Portuensi,43,12.07
16b,Buon Pastore,20,6.53
16c,Pisana,8,18.28
16d,Gianicolense,29,5.41
16e,Massimina,11,12.2
16f,Pantano di Grano,6,10.75
16x,Villa Pamphili,0,0
17a,Prati,17,9.62
17b,Della Vittoria,24,9.37
17c,Eroi,9,4.61
18a,Aurelio Sud,11,4.47
18b,Val Cannuta,14,4.21
18c,Fogaccia,22,7.42
18d,Aurelio Nord,9,4.99
18e,Casalotti di Boccea,15,8.56
18f,Boccea,3,3.95
19a,Medaglie d' Oro,29,7.38
19b,Primavalle,32,5.71
19c,Ottavia,17,11.04
19d,S. Maria della Pieta,22,8.82
19e,Trionfale,15,8.93
19f,Pineto,2,10.7
19g,Castelluccia,13,4.46
19h,S. Maria di Galeria,1,2.72
1a,Centro Storico,43,17.54
1b,Trastevere,3,2.16
1c,Aventino,9,11.06
1d,Testaccio,3,3.81
1e,Esquilino,31,9.11
1f,XX Settembre,10,11.1
1g,Celio,3,7.73
1x,Zona Archeologica,1,13.83
20a,Tor di Quinto,14,10.96
20b,Acquatraversa,7,7.15
20c,Tomba di Nerone,25,7.77
20d,Farnesina,26,13.49
20e,Grottarossa Ovest,1,3.85
20f,Grottarossa Est,0,0
20g,Giustiniana,20,18.23
20h,La Storta,8,3.92
20i,S. Cornelia,4,4.47
20l,Prima Porta,0,0
20m,Labaro,19,8.64
20n,Cesano,3,2.72
20o,Martignano,0,0
20x,Foro Italico,7,106.87
2a,Villaggio Olimpico,1,3.56
2b,Parioli,19,8.73
2c,Flaminio,19,14.58
2d,Salario,26,10.31
2e,Trieste,46,8.7
2x,Villa Borghese,0,0
2y,Villa Ada,1,11.25
3a,Nomentano,41,10.55
3b,S. Lorenzo,4,4.49
3x,Universit?,0,0
3y,Verano,0,0
4a,Monte Sacro,8,4.86
4b,Val Melaina,23,6.33
4c,Monte Sacro Alto,11,3.28
4d,Fidene,6,5.04
4e,Serpentara,13,4.1
4f,Casal Boccone,9,6.5
4g,Conca d'Oro,11,5.8
4h,Sacco Pastore,7,6.94
4i,Tufello,4,2.79
4l,Aeroporto dell' Urbe,1,5.13
4m,Settebagni,1,1.94
4n,Bufalotta,10,13.32
4o,Tor S. Giovanni,1,11.78
5a,Casal Bertone,7,4.38
5b,Casal Bruciato,9,4.34
5c,Tiburtino Nord,18,9.58
5d,Tiburtino Sud,15,6.58
5e,S. Basilio,11,4.45
5f,Tor Cervara,1,3.51
5g,Pietralata,8,6.07
5h,Casal de' Pazzi,11,4.17
5i,S. Alessandro,4,3.77
5l,Settecamini,6,4.75
6a,Torpignattara,20,4.21
6b,Casilino,10,9.42
6c,Quadraro,11,5.3
6d,Gordiani,20,4.85
7a,Centocelle,36,6.67
7b,Alessandrina,23,8.6
7c,Tor Sapienza,4,3.24
7d,La Rustica,4,3.96
7e,Tor Tre Teste,8,7.35
7f,Casetta Mistica,0,0
7g,Centro Direzionale Centocelle,0,0
7h,Omo,7,35.44
8a,Torrespaccata,1,0.74
8b,Torre Maura,16,8.19
8c,Giardinetti-Tor Vergata,16,8.01
8d,Acqua Vergine,4,5.56
8e,Lunghezza,15,4.1
8f,Torre Angela,53,6.05
8g,Borghesiana,24,4.64
8h,S. Vittorino,5,3.61
9a,Tuscolano Nord,13,5.99
9b,Tuscolano Sud,30,6.29
9c,Tor Fiscale,0,0
9d,Appio,32,11.66
9e,Latino,9,3.98
